10719459,1080p,https://qiniu-video0.xpccdn.com/5cbed017283f7.mp4
10719459,720p,https://qiniu-video0.xpccdn.com/5cbed01768367.mp4
10719459,360p,https://qiniu-video0.xpccdn.com/5cbed017b3088.mp4
93207,1080p,https://us-xpc5.xpccdn.com/5b332f3b2ee59.mp4
93207,720p,https://us-xpc5.xpccdn.com/5b332f3c19700.mp4
93207,360p,https://us-xpc5.xpccdn.com/5b332f3d756a3.mp4
11548016,4k,https://us-xpc5.xpccdn.com/08e59766-51ea-4ee2-806d-30647f401cfc.mp4
11548016,1080p,https://us-xpc5.xpccdn.com/6b7a1950-658b-4867-a41f-8f382190a781.mp4
11548016,720p,https://us-xpc5.xpccdn.com/cfbfa13c-f027-43ab-aa43-41b508502afb.mp4
11548016,360p,https://us-xpc5.xpccdn.com/4da8b0ce-7298-4d2c-bd9e-dd79df271650.mp4
10558821,1080p,https://us-xpc5.xpccdn.com/5d9de423988dd.mp4
10558821,720p,https://us-xpc5.xpccdn.com/5d9de423a60ba.mp4
10558821,360p,https://us-xpc5.xpccdn.com/5d9de423c93d7.mp4
10855668,1080p,https://us-xpc5.xpccdn.com/5f180b522c163.mp4
10855668,720p,https://us-xpc5.xpccdn.com/5f180b5273409.mp4
10855668,360p,https://us-xpc5.xpccdn.com/5f180b52aa12c.mp4
12056243,1080p,https://us-xpc11.xpccdn.com/2c701bf3-f5f5-4112-8437-e958358b054b.mp4
12056243,720p,https://us-xpc11.xpccdn.com/90a52b0e-dcb9-40d3-9018-5b8c69f4548e.mp4
12056243,360p,https://us-xpc11.xpccdn.com/b58f58f4-a769-4e9f-9267-6b287fdbbeed.mp4
10192960,1080p,https://us-xpc5.xpccdn.com/5b332b233e8bb.mp4
10192960,720p,https://us-xpc5.xpccdn.com/5b332b23697c8.mp4
10192960,360p,https://us-xpc5.xpccdn.com/5b332b2399aa9.mp4
10443311,1080p,https://tencent-xpc5.xpccdn.com/5ce6b87eebcc0.mp4
10443311,720p,https://tencent-xpc5.xpccdn.com/5ce6b87f0df9b.mp4
10443311,360p,https://tencent-xpc5.xpccdn.com/5ce6b87f3ab7e.mp4
11096161,1080p,https://us-xpc11.xpccdn.com/3e6bed4a-6bcc-4a5f-b73c-d25cb3553be9.mp4
11096161,720p,https://us-xpc11.xpccdn.com/f014d15e-5565-4270-ab11-5586d98d1c4f.mp4
11096161,360p,https://us-xpc11.xpccdn.com/5b955bf9-4656-46de-8a90-5ec4f9969533.mp4
